# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3813
#@/user_id	3b9f0210-6f77-41af-a981-a384e697813f
chong zhi 	充值	c=0 d=0.1 t=3024
chong zhi le 	充值了	c=1 d=1 t=3025
chou 	抽	c=1 d=1 t=2855
chu 	出	c=10 d=0.0361142 t=3813
chu bu chu 	出不出	c=1 d=0.0389686 t=3813
chu cuo 	出錯	c=1 d=0.0746459 t=3813
chu fa 	出發	c=0 d=0.0101266 t=3813
chu fa le 	出發了	c=1 d=0.101774 t=3813
chu ji 	初級	c=1 d=1 t=3628
chu lai 	出來	c=1 d=0.0290835 t=3813
chu lai le 	出來了	c=1 d=0.292293 t=3813
chu le 	出了	c=2 d=0.105167 t=3813
chu le 	除了	c=2 d=0.444858 t=3813
chu li 	處理	c=1 d=0.311923 t=3813
chu nv 	處女	c=0 d=0.1 t=2976
chu qu 	出去	c=1 d=1 t=2226
chu xian 	出現	c=1 d=0.00559994 t=3813
chu zhong 	初中	c=1 d=1 t=2935
chu zhuang 	出裝	c=1 d=0.373439 t=3813
chuan cheng 	傳承	c=3 d=1.76258 t=2838
chuan lai 	傳來	c=1 d=1 t=2542
chuan tong 	傳統	c=1 d=0.00708341 t=3813
chun cui 	純粹	c=3 d=1.32003 t=3544
chun hei 	純黑	c=1 d=1 t=2972
ci 	刺	c=2 d=1.83527 t=2858
ci chu 	刺出	c=2 d=1.6005 t=2901
ci ji 	刺激	c=3 d=0.515492 t=3813
ci ren 	此人	c=1 d=1 t=3576
ci zhao 	此招	c=1 d=1 t=2860
cong 	從	c=3 d=0.146607 t=3813
cong er 	從而	c=2 d=1.95123 t=3485
cong qian 	從前	c=1 d=0.167797 t=3813
cong shi 	從事	c=1 d=0.145876 t=3813
cou chu 	湊出	c=1 d=0.740818 t=3813
cui 	翠	c=1 d=0.194952 t=3813
cun zai 	存在	c=1 d=1 t=2116
cuo guo 	錯過	c=0 d=0.00227089 t=3813
cuo guo liang ji 	錯過良機	c=1 d=0.0228227 t=3813
cuo wu 	錯誤	c=1 d=0.00625109 t=3813
da 	大	c=5 d=0.918593 t=3813
da 	打	c=15 d=1.94404 t=3813
da de 	打得	c=1 d=0.40657 t=3813
da di 	大敵	c=1 d=0.186374 t=3813
da diao 	打掉	c=1 d=1 t=2432
da duan 	打斷	c=3 d=0.0285814 t=3813
da gai 	大概	c=0 d=0.1 t=3593
da gai lv 	大概率	c=1 d=1 t=3594
da ge 	大哥	c=4 d=1.44644 t=3255
da hai 	大海	c=1 d=0.0156076 t=3813
da hui 	大會	c=0 d=0.1 t=3016
da jie ju 	大結局	c=1 d=0.0165727 t=3813
da kai 	打開	c=1 d=1 t=2975
da lao 	大佬	c=1 d=0.927743 t=3813
da le 	打了	c=1 d=0.594521 t=3813
da li 	大力	c=1 d=0.037068 t=3813
da liang 	大量	c=1 d=1 t=2818
da long 	大龍	c=2 d=0.174672 t=3813
da luan 	打亂	c=0 d=0.1 t=2495
da luan le 	打亂了	c=1 d=1 t=2496
da men 	大門	c=1 d=1 t=2467
da mo wang 	大魔王	c=2 d=0.0198421 t=3813
da tie 	打鐵	c=1 d=0.628135 t=3813
da xue 	大學	c=2 d=0.226123 t=3813
da zhao 	大招	c=1 d=0.00690852 t=3813
da zhong 	大衆	c=1 d=1 t=3459
da zong 	大宗	c=1 d=0.212248 t=3813
dai 	帶	c=1 d=1 t=2056
dai hui 	待會	c=1 d=0.0146253 t=3813
dai you 	帶有	c=3 d=2.10284 t=3738
dan 	但	c=10 d=1.56345 t=3427
dan 	單	c=1 d=0.264477 t=3813
dan chun 	單純	c=1 d=1 t=2147
dan diao 	單調	c=1 d=1 t=2410
dan mu 	彈幕	c=1 d=0.980199 t=3813
dan sha 	單殺	c=1 d=1 t=2539
dan shi 	但是	c=19 d=3.65967 t=3813
dan shua 	但刷	c=1 d=1 t=2608
dang 	擋	c=1 d=0.527292 t=3813
